0.465,2.2005,0,0.53897,1.2081,0.46815
0.466,2.2005,0,0.53897,1.2077,0.46803
0.467,2.2005,0,0.53897,1.2073,0.4679
0.468,2.2005,0,0.53897,1.2069,0.46778
0.469,2.2005,0,0.53897,1.2064,0.46766
0.47,2.2005,0,0.53897,1.206,0.46753
0.471,2.2005,0,0.53897,1.2056,0.46741
0.472,2.2005,0,0.53897,1.2052,0.46728
0.473,2.2005,0,0.53897,1.2048,0.46716
0.474,2.2005,0,0.53897,1.2044,0.46704
0.475,2.2005,0,0.53897,1.204,0.46691
0.476,2.2005,0,0.53897,1.2035,0.46679
0.477,2.2005,0,0.53897,1.2031,0.46666
0.478,2.2005,0,0.53897,1.2027,0.46654
0.479,2.2005,0,0.53897,1.2023,0.46642
0.48,2.2005,0,0.53897,1.2019,0.46629
0.481,2.2005,0,0.53897,1.2015,0.46617
0.482,2.2005,0,0.53897,1.2011,0.46604
0.483,2.2005,0,0.53897,1.2006,0.46592
0.484,2.2005,0,0.53897,1.2002,0.4658
0.485,2.2005,0,0.53897,1.1998,0.46567
0.486,2.2005,0,0.53897,1.1994,0.46555
0.487,2.2005,0,0.53897,1.199,0.46543
0.488,2.2005,0,0.53897,1.1986,0.4653
0.489,2.2005,0,0.53897,1.1981,0.46518
0.49,2.2005,0,0.53897,1.1977,0.46505
0.491,2.2005,0,0.53897,1.1973,0.46493
0.492,2.2005,0,0.53897,1.1969,0.46481
0.493,2.2005,0,0.53897,1.1965,0.46468
0.494,2.2005,0,0.53897,1.1961,0.46456
0.495,2.2005,0,0.53897,1.1957,0.46443
0.496,2.2005,0,0.53897,1.1952,0.46431
0.497,2.2005,0,0.53897,1.1948,0.46419
0.498,2.2005,0,0.53897,1.1944,0.46406
0.499,2.2005,0,0.53897,1.194,0.46394
0.5,2.2005,0,0.53897,1.1936,0.46381
0.501,2.2005,0,0.53897,1.1932,0.46369
0.502,2.2005,0,0.53897,1.1928,0.46357
0.503,2.2005,0,0.53897,1.1923,0.46344
0.504,2.2005,0,0.53897,1.1919,0.46332
0.505,2.2005,0,0.53897,1.1915,0.4632
0.506,2.2005,0,0.53897,1.1911,0.46307
0.507,2.2005,0,0.53897,1.1907,0.46295
0.508,2.2005,0,0.53897,1.1903,0.46282
0.509,2.2005,0,0.53897,1.1898,0.4627
0.51,2.2005,0,0.53897,1.1894,0.46258
0.511,2.2005,0,0.53897,1.189,0.46245
0.512,2.2005,0,0.53897,1.1886,0.46233
0.513,2.2005,0,0.53897,1.1882,0.4622
0.514,2.2005,0,0.53897,1.1878,0.46208
0.515,2.2005,0,0.53897,1.1874,0.46196
0.516,2.2005,0,0.53897,1.1869,0.46183
0.517,2.2005,0,0.53897,1.1865,0.46171
0.518,2.2005,0,0.53897,1.1861,0.46158
0.519,2.2005,0,0.53897,1.1857,0.46146
0.52,2.2005,0,0.53897,1.1853,0.46134
0.521,2.2005,0,0.53897,1.1849,0.46121
0.522,2.2005,0,0.53897,1.1844,0.46109
0.523,2.2005,0,0.53897,1.184,0.46096
0.524,2.2005,0,0.53897,1.1836,0.46084
0.525,2.2005,0,0.53897,1.1832,0.46072
0.526,2.2005,0,0.53897,1.1828,0.46059
0.527,2.2005,0,0.53897,1.1824,0.46047
0.528,2.2005,0,0.53897,1.182,0.46035
0.529,2.2005,0,0.53897,1.1815,0.46022
0.53,2.2005,0,0.53897,1.1811,0.4601
0.531,2.2005,0,0.53897,1.1807,0.45997
